2026-08-31 00:17:45 FATAL in /root/autodl-tmp/repro_spsaswa_s1024.log: kill+resume
2026-08-31 00:19:54 OK alive iter=167/5744 gpu=72, 15698 stall=0 anom=0
2026-08-31 00:20:05 OK alive iter=183/5744 gpu=68, 15698 stall=0 anom=0
2026-08-31 00:21:10 OK alive iter=281/5744 gpu=73, 15698 stall=0 anom=0
2026-08-31 00:21:23 OK alive iter=299/5744 gpu=80, 15698 stall=0 anom=0
2026-08-31 00:31:34 OK alive iter=1183/5744 gpu=67, 15698 stall=0 anom=0
2026-08-31 00:42:00 OK alive iter=2112/5744 gpu=84, 15698 stall=0 anom=0
2026-08-31 00:51:22 OK alive iter=2944/5744 gpu=75, 15698 stall=0 anom=0
2026-08-31 01:01:22 OK alive iter=3826/5744 gpu=81, 15698 stall=0 anom=0
2026-08-31 01:11:23 OK alive iter=4720/5744 gpu=57, 15698 stall=0 anom=0
2026-08-31 01:21:22 OK alive iter=5619/5744 gpu=74, 15698 stall=0 anom=0
2026-08-31 01:31:22 OK alive iter=705/5744 gpu=60, 15636 stall=0 anom=0
2026-08-31 01:41:22 OK alive iter=1598/5744 gpu=69, 15636 stall=0 anom=0
2026-08-31 01:51:22 OK alive iter=2497/5744 gpu=76, 15636 stall=0 anom=0
2026-08-31 02:01:22 OK alive iter=3333/5744 gpu=70, 15636 stall=0 anom=0
2026-08-31 02:11:23 OK alive iter=4231/5744 gpu=71, 15636 stall=0 anom=0
2026-08-31 02:21:22 OK alive iter=5127/5744 gpu=69, 15636 stall=0 anom=0
2026-08-31 02:31:22 OK alive iter=218/5744 gpu=68, 15690 stall=0 anom=0
2026-08-31 02:41:23 OK alive iter=1114/5744 gpu=25, 15690 stall=0 anom=0
2026-08-31 02:51:22 OK alive iter=2011/5744 gpu=72, 15690 stall=0 anom=0
2026-08-31 03:01:22 OK alive iter=327/514 gpu=90, 15690 stall=0 anom=0
2026-08-31 03:11:23 OK alive iter=3750/5744 gpu=65, 15690 stall=0 anom=0
2026-08-31 03:21:22 OK alive iter=4643/5744 gpu=86, 15690 stall=0 anom=0
2026-08-31 03:31:23 OK alive iter=5540/5744 gpu=74, 15690 stall=0 anom=0
2026-08-31 03:41:23 OK alive iter=621/5744 gpu=73, 15692 stall=0 anom=0
2026-08-31 03:51:22 OK alive iter=1501/5744 gpu=35, 15692 stall=0 anom=0
2026-08-31 04:01:22 OK alive iter=2378/5744 gpu=80, 15692 stall=0 anom=0
2026-08-31 04:11:23 OK alive iter=3200/5744 gpu=56, 15692 stall=0 anom=0
2026-08-31 04:21:22 OK alive iter=4072/5744 gpu=52, 15692 stall=0 anom=0
2026-08-31 04:31:23 OK alive iter=4946/5744 gpu=70, 15692 stall=0 anom=0
2026-08-31 04:41:22 OK alive iter=149/514 gpu=80, 15692 stall=0 anom=0
2026-08-31 04:51:22 OK alive iter=936/5744 gpu=65, 14242 stall=0 anom=0
2026-08-31 05:01:23 OK alive iter=1950/5744 gpu=71, 14242 stall=0 anom=0
2026-08-31 05:11:23 OK alive iter=2952/5744 gpu=66, 14242 stall=0 anom=0
2026-08-31 05:21:23 OK alive iter=3961/5744 gpu=25, 14242 stall=0 anom=0
2026-08-31 05:31:23 OK alive iter=4971/5744 gpu=68, 14242 stall=0 anom=0
2026-08-31 05:41:23 OK alive iter=161/5744 gpu=69, 14208 stall=0 anom=0
2026-08-31 05:51:22 OK alive iter=1172/5744 gpu=70, 14208 stall=0 anom=0
2026-08-31 06:01:23 OK alive iter=2184/5744 gpu=86, 14208 stall=0 anom=0
2026-08-31 06:11:23 OK alive iter=3128/5744 gpu=87, 14208 stall=0 anom=0
2026-08-31 06:21:23 OK alive iter=4135/5744 gpu=57, 14208 stall=0 anom=0
2026-08-31 06:31:23 OK alive iter=5143/5744 gpu=53, 14208 stall=0 anom=0
2026-08-31 06:41:23 OK alive iter=334/5744 gpu=72, 14238 stall=0 anom=0
2026-08-31 06:51:23 OK alive iter=1334/5744 gpu=22, 14238 stall=0 anom=0
2026-08-31 07:01:23 OK alive iter=2292/5744 gpu=69, 14238 stall=0 anom=0
2026-08-31 07:11:23 OK alive iter=3236/5744 gpu=35, 14238 stall=0 anom=0
2026-08-31 07:21:23 OK alive iter=4242/5744 gpu=18, 14238 stall=0 anom=0
